"name","rule_id","title","section","level","severity","automated","description","rationale","impact","remediation","audit","references","benchmark"
"Ensure a separate partition for containers has been created","1.1","Ensure a separate partition for containers has been created","","Level 1","","","Scoring: Scored

All Docker containers and their data and metadata is stored under /var/lib/docker
directory. By default, /var/lib/docker would be mounted under / or /var partitions based
on availability.

Default Value:
By default, /var/lib/docker would be mounted under / or /var partitions based on
availability.","Docker depends on /var/lib/docker as the default directory where all Docker related files,
including the images, are stored. This directory might fill up fast and soon Docker and the
host could become unusable. So, it is advisable to create a separate partition (logical
volume) for storing Docker files.","None.","For new installations, create a separate partition for /var/lib/docker mount point. For
systems that were previously installed, use the Logical Volume Manager (LVM) to create
partitions.","At the Docker host execute the below command:
grep /var/lib/docker /etc/fstab
This should return the partition details for /var/lib/docker mount point.","1. https://www.projectatomic.io/docs/docker-storage-recommendation/","CIS Docker Community Edition Benchmark"
"Ensure the container host has been Hardened","1.2","Ensure the container host has been Hardened","","Level 1","","","Scoring: Not Scored

Containers run on a Linux host. A container host can run one or more containers. It is of
utmost importance to harden the host to mitigate host security misconfiguration.

Default Value:
By default, host has factory settings. It is not hardened.","You should follow infrastructure security best practices and harden your host OS. Keeping
the host system hardened would ensure that the host vulnerabilities are mitigated. Not
hardening the host system could lead to security exposures and breaches.","None.","You may consider various CIS Security Benchmarks for your container host. If you have
other security guidelines or regulatory requirements to adhere to, please follow them as
suitable in your environment.
Additionally, you can run a kernel with grsecurity and PaX. This would add many safety
checks, both at compile-time and run-time. It is also designed to defeat many exploits and
has powerful security features. These features do not require Docker-specific
configuration, since those security features apply system-wide, independent of containers.","Ensure that the host specific security guidelines are followed. Ask the system
administrators which security benchmark does current host system comply with. Ensure
that the host systems actually comply with that host specific security benchmark.","1. https://docs.docker.com/engine/security/security/
2. https://learn.cisecurity.org/benchmarks
3. https://docs.docker.com/engine/security/security/#other-kernel-security-features
4. https://grsecurity.net/
5. https://en.wikibooks.org/wiki/Grsecurity
6. https://pax.grsecurity.net/
7. http://en.wikipedia.org/wiki/PaX","CIS Docker Community Edition Benchmark"
"Ensure Docker is up to date","1.3","Ensure Docker is up to date","","Level 1","","","Scoring: Not Scored

There are frequent releases for Docker software that address security vulnerabilities,
product bugs and bring in new functionality. Keep a tab on these product updates and
upgrade as frequently as when new security vulnerabilities are fixed or deemed correct for
your organization.

Default Value:
Not Applicable","By staying up to date on Docker updates, vulnerabilities in the Docker software can be
mitigated. An educated attacker may exploit known vulnerabilities when attempting to
attain access or elevate privileges. Not installing regular Docker updates may leave you
with running vulnerable Docker software. It might lead to elevation privileges,
unauthorized access or other security breaches. Keep a track of new releases and update as
necessary.","Perform a risk assessment for docker version updates in how they may impact your Docker
operations. Be aware that several third-party products that use Docker may require older
major version of Docker to be supported.","Keep a track of Docker releases and update as necessary.","Execute the below command and verify that the Docker version is up to date as deemed
necessary. It is not a mandate to be on the latest one, though.
docker version","1. https://docs.docker.com/engine/installation/
2. https://github.com/moby/moby/releases/latest
3. https://github.com/docker/docker-ce/releases/latest","CIS Docker Community Edition Benchmark"
"Ensure only trusted users are allowed to control Docker daemon","1.4","Ensure only trusted users are allowed to control Docker daemon","","Level 1","","","Scoring: Scored

The Docker daemon currently requires root privileges. A user added to the docker group
gives him full root access rights.

Default Value:
Not Applicable","Docker allows you to share a directory between the Docker host and a guest container
without limiting the access rights of the container. This means that you can start a
container and map the / directory on your host to the container. The container will then be
able to alter your host file system without any restrictions. In simple terms, it means that
you can attain elevated privileges with just being a member of the docker group and then
starting a container with mapped / directory on the host.","Rights to build and execute containers as normal user would be restricted.","Remove any users from the docker group that are not trusted. Additionally, do not create a
mapping of sensitive directories on host to container volumes.","Execute the below command on the docker host and ensure that only trusted users are
members of the docker group.
getent group docker","1. https://docs.docker.com/engine/security/security/#docker-daemon-attack-
surface
2. https://www.andreas-jung.com/contents/on-docker-security-docker-group-
considered-harmful
3. http://www.projectatomic.io/blog/2015/08/why-we-dont-let-non-root-users-run-
docker-in-centos-fedora-or-rhel/","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for the docker daemon","1.5","Ensure auditing is configured for the docker daemon","","Level 1","","","Scoring: Scored

Audit all Docker daemon activities.

Default Value:
By default, Docker daemon is not audited.","Apart from auditing your regular Linux file system and system calls, audit Docker daemon
as well. Docker daemon runs with root privileges. It is thus necessary to audit its activities
and usage.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","Add a rule for Docker daemon.
For example,
Add the line as below line in /etc/audit/audit.rules file:
-w /usr/bin/docker -k docker
Then, restart the audit daemon. For example,
service auditd restart","Verify that there is an audit rule for Docker daemon. For example, execute below
command:
auditctl -l | grep /usr/bin/docker
This should list a rule for Docker daemon.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for Docker files and directories - /var/lib/docker","1.6","Ensure auditing is configured for Docker files and directories - /var/lib/docker","","Level 1","","","Scoring: Scored

Audit /var/lib/docker.

Default Value:
By default, Docker related files and directories are not audited.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /var/lib/docker is one such directory. It holds
all the information about containers. It must be audited.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","Add a rule for /var/lib/docker directory.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /var/lib/docker -k docker
Then, restart the audit daemon. For example,
service auditd restart","Verify that there is an audit rule corresponding to /var/lib/docker directory.
For example, execute below command:
auditctl -l | grep /var/lib/docker
This should list a rule for /var/lib/docker directory.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for Docker files and directories - /etc/docker","1.7","Ensure auditing is configured for Docker files and directories - /etc/docker","","Level 1","","","Scoring: Scored

Audit /etc/docker.

Default Value:
By default, Docker related files and directories are not audited.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /etc/docker is one such directory. It holds
various certificates and keys used for TLS communication between Docker daemon and
Docker client. It must be audited.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","Add a rule for /etc/docker directory.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /etc/docker -k docker
Then, restart the audit daemon. For example,
service auditd restart","Verify that there is an audit rule corresponding to /etc/docker directory.
For example, execute below command:
auditctl -l | grep /etc/docker
This should list a rule for /etc/docker directory.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for Docker files and directories - docker.service","1.8","Ensure auditing is configured for Docker files and directories - docker.service","","Level 1","","","Scoring: Scored

Audit docker.service, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file docker.service
may not be available on the system.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. docker.service is one such file. The
docker.service file might be present if the daemon parameters have been changed by an
administrator. It holds various parameters for Docker daemon. It must be audited, if
applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","If the file exists, add a rule for it.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /usr/lib/systemd/system/docker.service -k docker
Then, restart the audit daemon. For example,
service auditd restart","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.service
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
verify that there is an audit rule corresponding to the file:
For example, execute the below command:
auditctl -l | grep docker.service
This should list a rule for docker.service as per its location.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for Docker files and directories - docker.socket","1.9","Ensure auditing is configured for Docker files and directories - docker.socket","","Level 1","","","Scoring: Scored

Audit docker.socket, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file docker.socket may
not be available on the system.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. docker.socket is one such file. It holds various
parameters for Docker daemon socket. It must be audited, if applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","If the file exists, add a rule for it.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /usr/lib/systemd/system/docker.socket -k docker
Then, restart the audit daemon. For example,
service auditd restart","Step 1: Find out the file location:
systemctl show -p FragmentPath docker.socket
Step 2: If the file does not exist, this recommendation is not applicable. If the file exists,
verify that there is an audit rule corresponding to the file:
For example, execute the below command:
auditctl -l | grep docker.socket
This should list a rule for docker.socket as per its location.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html","CIS Docker Community Edition Benchmark"
"Ensure auditing is configured for Docker files and directories - /etc/default/docker","1.10","Ensure auditing is configured for Docker files and directories - /etc/default/docker","","Level 1","","","Scoring: Scored

Audit /etc/default/docker, if applicable.

Default Value:
By default, Docker related files and directories are not audited. The file
/etc/default/docker may not be available on the system. In that case, this
recommendation is not applicable.","Apart from auditing your regular Linux file system and system calls, audit all Docker
related files and directories. Docker daemon runs with root privileges. Its behavior
depends on some key files and directories. /etc/default/docker is one such file. It holds
various parameters for Docker daemon. It must be audited, if applicable.","Auditing generates quite big log files. Ensure to rotate and archive them periodically. Also,
create a separate partition of audit to avoid filling root file system.","Add a rule for /etc/default/docker file.
For example,
Add the line as below in /etc/audit/audit.rules file:
-w /etc/default/docker -k docker
Then, restart the audit daemon. For example,
service auditd restart","Verify that there is an audit rule corresponding to /etc/default/docker file.
For example, execute below command:
auditctl -l | grep /etc/default/docker
This should list a rule for /etc/default/docker file.","1. https://access.redhat.com/documentation/en-
US/Red_Hat_Enterprise_Linux/6/html/Security_Guide/chap-system_auditing.html","CIS Docker Community Edition Benchmark"
