"name","rule_id","title","section","level","severity","automated","description","rationale","impact","remediation","audit","references","benchmark"
"Syslog logging should be configured","1.1.1.1","Syslog logging should be configured","","Level 1","","true","Syslog logging is a standard logging protocol that is widely supported. It is
recommended for a level 1 deployment only, as syslog does not support encryption.

Default Value:
By default no external logging is defined","Sending all system logs to a remote host is recommended to provide protected, long
term storage and archiving. This also places a copy of the logs in a second location, in
case the primary (on the firewall) logs are compromised. Storing logs on a remote host
also allows for more flexible log searches and log processing, as well as many methods
of triggering events or scripts based on specific log events or combinations of events.
Finally, remote logging provides many organizations with the opportunity to combine
logs from disparate infrastructure in a SIEM (Security Information and Event
Management) system.
Logging to an external system is also usually required by most regulatory frameworks.","Failure to properly store and archive logs for critical infrastructure leaves an
organization without the tools required to establish trends in events or activity, or to
retrospectively analyze security or operational events beyond the log timespan stored
on the firewall. Not having remote logs also puts many organizations outside of
compliance with many regulatory frameworks. Finally, not logging to a remote host
leaves organizations without recourse in the event of a compromise of logs on the
primary device. It is imperative that organizations log critical infrastructure appropriately,
store and archive these logs in a central location, and have a robust set of tools to
analyze logs both in real time and after the fact.","Navigate to Device > Server Profiles > Syslog Choose Add Assign a Name to the
Profile. Choose Add, and assign a server name in the Name field, add an IP address or
FQDN in the Syslog Server field. Edit other fields as appropriate for your server.
Repeat if multiple Syslog destinations are required.
Navigate to Device > Log Settings Under System, add an entry. Define a Name and
a Filter setting. Under Forward Methods, add a Syslog Profile in the Syslog
section. Ensure that at least one of the Log Settings Configuration entries has it's
Filter setting at All Logs
Under Configuration, add an entry. Define a Name and a Filter setting. Under
Forward Methods, add a Syslog Profile in the Syslog section. Ensure that at least
one of the Log Settings Configuration entries has it's Filter setting at All Logs
Under User-ID, add an entry. Define a Name and a Filter setting. Under Forward
Methods, add a Syslog Profile in the Syslog section. Ensure that at least one of the
Log Settings Configuration entries has it's Filter setting at All Logs
Under HIP Match (Host Information Profile), add an entry. Define a Name and a Filter
setting. Under Forward Methods, add a Syslog Profile in the Syslog section.
Ensure that at least one of the Log Settings Configuration entries has it's Filter setting
at All Logs
Under IP-Tag, add an entry. Define a Name and a Filter setting. Under Forward
Methods, add a Syslog Profile in the Syslog section. Ensure that at least one of the
Log Settings Configuration entries has it's Filter setting at All Logs","Navigate to Device > Server Profiles > Syslog Ensure that a valid Syslog profile
is configured, and that it points to a valid Syslog host. Navigate to Device > Log
Settings Under System, verify that at least one Syslog entry exists and that at least
one entry has ""All Logs"" selected. Each Syslog entry must have a valid Syslog Profile
attached.
Under Configuration, verify that at least one Syslog entry exists and that at least one
entry has ""All Logs"" selected. Each Syslog entry must have a valid Syslog Profile
attached.
Under User-ID, verify that at least one Syslog entry exists and that at least one entry
has ""All Logs"" selected. Each Syslog entry must have a valid Syslog Profile attached.
Under HIP Match (Host Information Profile), verify that at least one Syslog entry exists
and that at least one entry has ""All Logs"" selected. Each Syslog entry must have a valid
Syslog Profile attached.
Under IP-Tag, verify that at least one Syslog entry exists and that at least one entry has
""All Logs"" selected. Each Syslog entry must have a valid Syslog Profile attached.","1. “PAN-OS Administrator's Guide 11.1 (English) - Configure Syslog Monitoring” -
https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-admin/monitoring/use-
syslog-for-monitoring/configure-syslog-monitoring","CIS Palo Alto Firewall 10 Benchmark"
"SNMPv3 traps should be configured","1.1.1.2","SNMPv3 traps should be configured","","Level 2","","true","SNMP v3 can be used for remote logging, and is the recommended protocol in higher
security situations as it fully supports encryption of logs.

Default Value:
By default no external logging is defined","Sending all system logs to a remote host is recommended to provide protected, long
term storage and archiving. This also places a copy of the logs in a second location, in
case the primary (on the firewall) logs are compromised. Storing logs on a remote host
also allows for more flexible log searches and log processing, as well as many methods
of triggering events or scripts based on specific log events or combinations of events.
Finally, remote logging provides many organizations with the opportunity to combine
logs from disparate infrastructure in a SIEM (Security Information and Event
Management) system.
Logging to an external system is also usually required by most regulatory frameworks.","Failure to properly store and archive logs for critical infrastructure leaves an
organization without the tools required to establish trends in events or activity, or to
retrospectively analyze security or operational events beyond the log timespan stored
on the firewall. Not having remote logs also puts many organizations outside of
compliance with many regulatory frameworks. Finally, not logging to a remote host
leaves organizations without recourse in the event of a compromise of logs on the
primary device. It is imperative that organizations log critical infrastructure appropriately,
store and archive these logs in a central location, and have a robust set of tools to
analyze logs both in real time and after the fact. Not encrypting log data as it transits the
network allows an attacker to mount a ""MiTM"" (Monkey in the Middle) attack, which
allows them to intercept and/or modify logs as they transit from the source to the
destination.","Navigate to Device > Server Profiles > SNMP Trap Choose Add Assign a Name to
the Profile, and specify version V3. Choose Add, and assign a server name in the Name
field, add an IP address or FQDN in the SNMP Manager field. Edit the Password fields
as appropriate for your server. Repeat if multiple Syslog destinations are required.
Navigate to Device > Log Settings Under System, add an entry. Define a Name and
a Filter setting. Under Forward Methods, add a SNMP Profile in the SNMP
section. Ensure that at least one of the Log Settings Configuration entries has its
Filter setting at All Logs
Under Configuration, add an entry. Define a Name and a Filter setting. Under
Forward Methods, add a SNMP Profile in the SNMP section. Ensure that at least one
of the Log Settings Configuration entries has its Filter setting at All Logs
Under User-ID, add an entry. Define a Name and a Filter setting. Under Forward
Methods, add a SNMP Profile in the SNMP section. Ensure that at least one of the Log
Settings Configuration entries has its Filter setting at All Logs
Under HIP Match (Host Information Profile), add an entry. Define a Name and a Filter
setting. Under Forward Methods, add a SNMP Profile in the SNMP section. Ensure
that at least one of the Log Settings Configuration entries has its Filter setting at All
Logs
Under IP-Tag, add an entry. Define a Name and a Filter setting. Under Forward
Methods, add a SNMP Profile in the SNMP section. Ensure that at least one of the Log
Settings Configuration entries has its Filter setting at All Logs","Navigate to Device > Server Profiles > SNMP Traps
Ensure that a valid SNMP profile is configured, that version V3 is selected, and that it
points to a valid SNMPv3 host. User, EngineID and Password fields should be
completed appropriately
Navigate to Device > Log Settings Under System, verify that at least one SNMP
entry exists, corresponding to an SNMPv3 Server Profile and that at least one entry has
""All Logs"" selected.
Under Configuration, verify that at least one SNMP entry exists, corresponding to an
SNMPv3 Server Profile and that at least one entry has ""All Logs"" selected.
Under User-ID, verify that at least one SNMP entry exists, corresponding to an
SNMPv3 Server Profile and that at least one entry has ""All Logs"" selected.
Under HIP Match (Host Information Profile), verify that at least one SNMP entry exists,
corresponding to an SNMPv3 Server Profile and that at least one entry has ""All Logs""
selected.
Under IP-Tag, verify that at least one SNMP entry exists, corresponding to an SNMPv3
Server Profile and that at least one entry has ""All Logs"" selected.","1. “PAN-OS Administrator's Guide 11.1 (English) - Forward Traps to an SNMP
Manager” - https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-
admin/monitoring/snmp-monitoring-and-traps/forward-traps-to-an-snmp-manager","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Login Banner' is set","1.1.2","Ensure 'Login Banner' is set","","Level 1","","true","Configure a login banner, ideally approved by the organization’s legal team. This banner
should, at minimum, prohibit unauthorized access, provide notice of logging or
monitoring, and avoid using the word “welcome” or similar words of invitation.

Default Value:
Not configured","Through a properly stated login banner, the risk of unintentional access to the device by
unauthorized users is reduced. Should legal action take place against a person
accessing the device without authorization, the login banner greatly diminishes a
defendant’s claim of ignorance.","","Navigate to Device > Setup > Management > General Settings.
Set Login Banner as appropriate for your organization.","Navigate to Device > Setup > Management > General Settings.
Verify that Login Banner is set appropriately for your organization.","1. “PAN-OS Administrator's Guide 11.1 (English) - Configuring Logon Banners” -
https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-admin/firewall-
administration/use-the-web-interface/configure-banners-message-of-the-day-
and-logos","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Enable Log on High DP Load' is enabled","1.1.3","Ensure 'Enable Log on High DP Load' is enabled","","Level 1","","true","Enable the option 'Enable Log on High DP Load' feature. When this option is selected, a
system log entry is created when the device’s packet processing load reaches 100%
utilization.

Default Value:
Not enabled","When the device’s packet processing load reaches 100%, a degradation in the
availability of services accessed through the device can occur. Logging this event can
help with troubleshooting system performance.","Sustained attacks, especially volumetric DOS and DDOS attacks will often affect CPU
utilization. This setting will generate an event that is easily monitored for and alerted on.
While setting CPU utilization watermarks in a Network Management System is a
standard practice, this setting does not depend on even having an NMS, it doesn't
require anything other than standard logging to implement.","Navigate to Device > Setup > Management > Logging and Reporting Settings
> Log Export and Reporting.
Set the Enable Log on High DP Load box to checked.","Navigate to Device > Setup > Management > Logging and Reporting Settings
> Log Export and Reporting.
Verify Enable Log on High DP Load is checked.","1. ""Logging Best Practices"" - https://live.paloaltonetworks.com/t5/best-practice-
assessment-device/logging-and-reporting-settings-log-on-high-dp-mode/ta-
p/336964","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Permitted IP Addresses' is set to those necessary for device management","1.2.1","Ensure 'Permitted IP Addresses' is set to those necessary for device management","","Level 1","","true","Permit only the necessary IP addresses to be used to manage the device.

Default Value:
Not enabled (all addresses that can reach the interface are permitted)","Management access to the device should be restricted to the IP addresses or subnets
used by firewall administrators. Permitting management access from other IP addresses
increases the risk of unauthorized access through password guessing, stolen
credentials, or other means.","","Navigate to Device > Setup > Interfaces > Management.
Set Permitted IP Addresses to only those necessary for device management for the
SSH and HTTPS protocols. If no profile exists, create one that has these addresses set.","Navigate to Device > Setup > Interfaces > Management.
Verify that Permitted IP Addresses is limited only to those necessary for device
management.","1. ""How to Allow Certain IP Addresses on the Management Interface"" -
https://live.paloaltonetworks.com/docs/DOC-8432
2. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access"": https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html#","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Permitted IP Addresses' is set for all management profiles where SSH, HTTPS, or SNMP is enabled","1.2.2","Ensure 'Permitted IP Addresses' is set for all management profiles where SSH, HTTPS, or SNMP is enabled","","Level 1","","true","For all management profiles, only the IP addresses required for device management
should be specified.

Default Value:
Not enabled","If a Permitted IP Addresses list is either not specified or is too broad, an attacker may
gain the ability to attempt management access from unintended locations, such as the
Internet. The “Ensure 'Security Policy' denying any/all traffic exists at the bottom of the
security policies ruleset” recommendation in this benchmark can provide additional
protection by requiring a security policy specifically allowing device management
access.","","Navigate to Network > Network Profiles > Interface Management.
In each profile, for each of the target protocols (SNMP, HTTPS, SSH), set Permitted
IP Addresses to only include those necessary for device management. If no profile
exists, create one that has these options set.","Navigate to Network > Network Profiles > Interface Management.
In each profile, for each of the target protocols (SNMP, HTTPS, SSH), verify that
Permitted IP Addresses is limited to those necessary for device management.","1. ""How to Allow Certain IP Addresses on the Management Interface"" -
https://live.paloaltonetworks.com/docs/DOC-8432
2. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access"": https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html#","CIS Palo Alto Firewall 10 Benchmark"
"Ensure HTTP and Telnet options are disabled for the management interface","1.2.3","Ensure HTTP and Telnet options are disabled for the management interface","","Level 1","","true","HTTP and Telnet options should not be enabled for device management.

Default Value:
Not set. (HTTP and Telnet are disabled by default)","Management access over cleartext services such as HTTP or Telnet could result in a
compromise of administrator credentials and other sensitive information related to
device management. Theft of either administrative credentials or session data is easily
accomplished with a ""Man in the Middle"" attack.","","Navigate to Device > Setup > Interfaces > Management.
Set the HTTP and Telnet boxes to unchecked.","Navigate to Device > Setup > Interfaces > Management.
Verify that the HTTP and Telnet options are both unchecked.","1. ""How to Configure a Layer 3 Interface to act as a Management Port"" -
https://live.paloaltonetworks.com/t5/Configuration-Articles/How-to-Configure-a-
Layer-3-Interface-to-act-as-a-Management-Port/ta-p/59024
2. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access"": https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html#","CIS Palo Alto Firewall 10 Benchmark"
"Ensure HTTP and Telnet options are disabled for all management profiles","1.2.4","Ensure HTTP and Telnet options are disabled for all management profiles","","Level 1","","true","HTTP and Telnet options should not be enabled for device management.","Management access over cleartext services such as HTTP or Telnet could result in a
compromise of administrator credentials and other sensitive information related to
device management.","","Navigate to Network > Network Profiles > Interface Management. For each
Profile, set the HTTP and Telnet boxes to unchecked.","Navigate to Network > Network Profiles > Interface Management. For each
Interface Management profile verify that the HTTP and Telnet options are both
unchecked.","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access"": https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html#
2. “PAN-OS Administrator's Guide 9.0 (English) - Use Interface Management
Profiles to Restrict Access"": https://docs.paloaltonetworks.com/pan-os/9-0/pan-
os-admin/networking/configure-interfaces/use-interface-management-profiles-to-
restrict-access.html#","CIS Palo Alto Firewall 10 Benchmark"
"Ensure valid certificate is set for browser-based administrator interface","1.2.5","Ensure valid certificate is set for browser-based administrator interface","","Level 2","","true","In most cases, a browser HTTPS interface is used to administer the Palo Alto
appliance. The certificate used to secure this session should satisfy the following
criteria:
1. A valid certificate from a trusted source should be used. While a certificate from a
trusted Public Certificate Authority is certainly valid, one from a trusted Private
Certificate Authority is absolutely acceptable for this purpose.
2. The certificate should have a valid date. It should not have a ""to"" date in the past
(it should not be expired), and should not have a ""from"" date in the future.
3. The certificate should use an acceptable cipher and encryption level.

Default Value:
A self-signed certificate is installed by default for the administrative interface.

Additional Information:
Verify that the clock is both accurate and reliable on both the Palo Alto and on the
administrative workstations before setting the SSL/TLS Service Profile. Inaccurate or
mismatched clocks will result in certificate errors and can result in loss of HTTPS
administrative access.","If a certificate that is self-signed, expired, or otherwise invalid is used for the browser
HTTPS interface, administrators in most cases will not be able to tell if their session is
being eavesdropped on or injected into by a ""Man in the Middle"" attack.","If the default self-signed certificate is used, an administrator will not be able to clearly
tell if their HTTPS session is being hijacked or not. Using a trusted certificate ensures
that the session is both encrypted and trusted.","Create or acquire a certificate that meets the stated criteria and set it:
Navigate to Device > Certificate Management > Certificates
Import an appropriate Certificate for your administrative session, from a trusted
Certificate Authority.
Navigate to Device > Certificate Management > SSL/TLS Service Profile
Choose or import the certificate you want to use for the web based administrative
session.
Navigate to Device > Setup > Management > General Settings > SSL/TLS
Service Profile
Choose the Service Profile that you have configured","Verify that the certificate used to secure HTTPS sessions meets the criteria by
reviewing the appropriate certificate:
Navigate to Device > Certificate Management > Certificates
Verify that this Certificate is properly applied to the Management Interface:
Navigate to Device > Setup > Management > General Settings > SSL/TLS
Service Profile","1. ""How to Configure a Certificate for Secure Web GUI Access"" -
https://live.paloaltonetworks.com/t5/Configuration-Articles/How-to-configure-a-
certificate-for-secure-web-gui-access/ta-p/68653
2. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access"": https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html#","CIS Palo Alto Firewall 10 Benchmark"
"Ensure 'Minimum Password Complexity' is enabled","1.3.1","Ensure 'Minimum Password Complexity' is enabled","","Level 1","","true","This checks all new passwords to ensure that they meet basic requirements for strong
passwords.

Default Value:
Not enabled.","Password complexity recommendations are derived from the USGCB (United States
Government Configuration Baseline), Common Weakness Enumeration, and
benchmarks published by the CIS (Center for Internet Security). Password complexity
adds entropy to a password, in comparison to a simple password of the same length. A
complex password is more difficult to attack, either directly against administrative
interfaces or cryptographically, against captured password hashes. However, making a
password of greater length will generally have a greater impact in this regard, in
comparison to making a shorter password more complex.","Simple passwords make an attacker's job very easy. There is a reasonably short list of
commonly used admin passwords for network infrastructure, not enforcing password
lengths and complexity can lend itself to making an attacker's brute force attack
successful.","Navigate to Device > Setup > Management > Minimum Password Complexity.
Set Enabled to be checked
Set that the various password settings to values that are appropriate to your
organization. It is suggested that there at least be some special characters enforced,
and that a minimum length be set. Ensure that non-zero values are set for Minimum
Uppercase, Lowercase and Special Characters. ""Block Username Inclusion"" should be
enabled.
Operationally, dictionary words should be avoided for all passwords - passphrases are a
much better alternative.","Navigate to Device > Setup > Management > Minimum Password Complexity.
Verify Enabled is checked
Ensure that the various password settings to values that are appropriate to your
organization. Non-zero values should be set for Minimum Uppercase, Lowercase and
Special Characters. ""Block Username Inclusion"" should be enabled.","1. “PAN-OS Administrator's Guide 9.0 (English) - Best Practices for Securing
Administrative Access” - https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-
admin/getting-started/best-practices-for-securing-administrative-access.html","CIS Palo Alto Firewall 10 Benchmark"
