"name","rule_id","title","section","level","severity","automated","description","rationale","impact","remediation","audit","references","benchmark"
"Ensure DNS server is configured","1.1","Ensure DNS server is configured","Network Settings","Level 1","","true","Fortinet uses the Domain Name Service (DNS) to translate host names into IP
addresses. To enable DNS lookups, you must specify the primary DNS server for your
system. You can also specify secondary and tertiary DNS servers. When resolving host
names, the system consults the primary name server. If a failure or time-out occurs, the
system consults the secondary name server.
For security purpose, trusted DNS servers should be configured to prevent man-in-the-
middle attacks.

Default Value:
Default primary DNS server is 96.45.45.45. Default secondary DNS server is
96.45.46.46.","The purpose is to perform the resolution of system hostnames to Internet Protocol (IP)
addresses using trusted DNS servers.","","In this example, we will assign 8.8.8.8 as primary DNS and 8.8.4.4 as secondary DNS.
In CLI:
FGT1 # config system dns
FGT1 (dns) # set primary 8.8.8.8
FGT1 (dns) # set secondary 8.8.4.4
FGT1 (dns) # end
FGT1 #
In the GUI, go to Networks > DNS. Click on ""Specify"" and put in 8.8.8.8 as ""Primary
DNS Server"" and 8.8.4.4 as ""Secondary DNS Server""","In CLI:
FGT1 # config system dns
FGT1 (dns) # show
config system dns
set primary <ip_address>
set secondary <ip_address>
...
end
In the GUI, go to Networks > DNS. The FortiGate uses either the default FortiGuard
DNS or customized DNS","1. https://docs.fortinet.com/document/fortigate/7.4.0/administration-guide/903162","CIS FortiGate 7.4.x Benchmark"
"Ensure intra-zone traffic is not always allowed","1.2","Ensure intra-zone traffic is not always allowed","Network Settings","Level 1","","false","This is to make sure that only specific, authorized traffic is allowed between networks in
the same zone.

Default Value:
By default, intra-zone traffic is blocked","This adds an extra layer of protection between different networks.","","In this example, we'll turn off intra-zone traffic in the zone DMZ. In CLI:
FGT1 # config system zone
FGT1 (zone) # edit DMZ
FGT1 (DMZ) # set intrazone deny
FGT1 (DMZ) # end
FGT1 #
In the GUI, click on Network -> Interfaces, select the zone and click on ""Edit"" and turn
on ""Block intra-zone traffic""","In this example, we'll verify the zone DMZ. In CLI:
FGT1 # config system zone
FGT1 (zone) # edit DMZ
FGT1 (DMZ) # show full
config system zone
edit ""DMZ""
...
set intrazone deny
...
next
end
In the GUI, click on Network -> Interfaces, select the zone and click on ""Edit"". Make
sure that the option ""Block intra-zone traffic"" is enabled.","1. https://docs.fortinet.com/document/fortigate/7.4.5/cli-
reference/314783845/config-system-zone
2. https://docs.fortinet.com/document/fortigate/7.4.5/administration-guide/116821","CIS FortiGate 7.4.x Benchmark"
"Disable all management related services on WAN port","1.3","Disable all management related services on WAN port","Network Settings","Level 1","","false","Enabling any management related services on WAN interface is high risk. Management
related services such as HTTPS, HTTP, ping, SSH, SNMP, and Radius should be
disabled on WAN.","Management related services should only be enabled on management interface. This is
part of defending the firewall from attacks and reducing the attack surface. For WAN
related services such as IPsec and SSLVPN, make use of local-in-policy (refer to CIS
Section 2.4) to tighten firewall defenses.","Enabling management related services on WAN port is convenient, but it exposes the
firewall to unnecessary risks. Vulnerabilities found on vendor devices are commonly
related to management services, and opening access to these allows attackers to
exploit its vulnerabilities.","On GUI:
Go to ""Network"" > ""Interfaces"".
Review WAN interface and disable HTTPS, HTTP, ping, SSH, SNMP, and Radius
services.
On CLI:
FGT1 # config system interface
FGT1 (interface) # edit ""port1""
FGT1 (port1) # unselect allowaccess ping https ssh snmp http radius-acct
Note:
1. Interface name may differ based on deployment. For this example, port1 is
deployed as WAN interface.
2. ""unselect allowaccess"" will only show services that you have enabled. If you
have not enabled snmp on that interface, then snmp option will not be available.","On GUI:
Go to ""Network"" > ""Interfaces"".
Identify WAN interface and validate that HTTPS, HTTP, PING, SSH, SNMP, and
Radius Accounting is not enabled in ""Administrative Access"" section.
On CLI:
`FGT1 # show system interface`
Identify WAN interface and validate that ""set allowaccess"" does not include ping, https,
http, ssh, snmp or radius-acct configured.","","CIS FortiGate 7.4.x Benchmark"
"Ensure 'Pre-Login Banner' is set","2.1.1","Ensure 'Pre-Login Banner' is set","System Settings - General Settings","Level 1","","true","Configure a pre-login banner, ideally approved by the organization’s legal team. This
banner should, at minimum, prohibit unauthorized access, provide notice of logging or
monitoring, and avoid using the word “welcome” or similar words of invitation.

Default Value:
the 'Pre-Login Banner' is disabled by default
FG1 # config system global
FG1 (global) # show
config system global
...
set pre-login-banner disable
...
end
the warning message default value is as follows:
PRE WARNING:
This is a private computer system. Unauthorized access or use
is prohibited and subject to prosecution and/or disciplinary
action. All use of this system constitutes consent to
monitoring at all times and users are not entitled to any
expectation of privacy. If monitoring reveals possible evidence
of violation of criminal statutes, this evidence and any other
related information, including identification information about
the user, may be provided to law enforcement officials.
If monitoring reveals violations of security regulations or
unauthorized use, employees who violate security regulations or
make unauthorized use of this system are subject to appropriate
disciplinary action.","Through a properly stated login banner, the risk of unintentional access to the device by
unauthorized users is reduced. Should legal action take place against a person
accessing the device without authorization, the login banner greatly diminishes a
defendant’s claim of ignorance.","Login banners provide a definitive warning to any possible intruders who may want to
access the FortiGate that certain types of activity are illegal. At the same time, it also
advises the authorized and legitimate users of their obligations relating to acceptable
use.","Run the following command in the CLI to enable the pre-login-banner:
FG1 # config system global
FG1 (global) # set pre-login-banner enable
FG1 (global) # end
FG1 #
In the GUI, to edit the content of the pre-login disclaimer message:
1. Go to 'System' -> 'Replacement Messages' -> 'Extended View' -> 'Pre-login
Disclaimer Message'. The edit screen is on the bottom right corner of the page.
Click on ""Save"" after the editing is done.","Run the following command in the CLI to verify the pre-login-banner is enabled:
FG1 # get system global
...
pre-login-banner : enable
...
end
In the GUI, to verify the content of the pre-login disclaimer message:
1) Go to 'System' -> 'Replacement Messages'
2) From the top right side, select 'Extended View'
3) Find 'Pre-login Disclaimer Message'","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-Configuring-admin-
disclaimer-page/ta-p/198609?externalID=FD33887","CIS FortiGate 7.4.x Benchmark"
"Ensure 'Post-Login-Banner' is set","2.1.2","Ensure 'Post-Login-Banner' is set","System Settings - General Settings","Level 1","","true","Sets the banner after users successfully log in. This is equivalent to Message of the Day
(MOTD) in some other systems.

Default Value:
POST WARNING: This is a private computer system. Unauthorized access or use is
prohibited and subject to prosecution and/or disciplinary action. All use of this system
constitutes consent to monitoring at all times and users are not entitled to any
expectation of privacy. If monitoring reveals possible evidence of violation of criminal
statutes, this evidence and any other related information, including identification
information about the user, may be provided to law enforcement officials. If monitoring
reveals violations of security regulations or unauthorized use, employees who violate
security regulations or make unauthorized use of this system are subject to appropriate
disciplinary action.
%%LAST_SUCCESSFUL_LOGIN%% %%LAST_FAILED_LOGIN%%","Network banners are electronic messages that provide notice of legal rights to users of
computer networks. From a legal standpoint, banners have four primary functions:
First, banners may be used to generate consent to real-time monitoring under Title III.
Second, banners may be used to generate consent to the retrieval of stored files and
records pursuant to ECPA. Third, in the case of government networks, banners may
eliminate any Fourth Amendment ""reasonable expectation of privacy"" that government
employees or other users might otherwise retain in their use of the government's
network under O'Connor v.","When post-login banner is enabled, some automated-script might be affected because
both CLI and GUI need an acceptance action (press ""A"" or ""Accept"") to continue.","Run the following command in the CLI to enable the post-login-banner:
FG1 # config system global
FG1 (global) # set post-login-banner enable
FG1 (global) # end
FG1 #
In the GUI, to edit the content of the post-login disclaimer message, go to
System -> Replace Messages -> Extended View -> ""Post-login Disclaimer
Message"". The edit screen is on the bottom right corner of the page. Click on
""Save"" after the editing is done.","Run the following command in the CLI to verify the post-login-banner is enabled:
FG1 # get system global
...
post-login-banner : enable
...
In the GUI, to verify the content of the post-login disclaimer message:
1) Go to 'System' -> 'Replacement Messages'
2) From the top right side, select 'Extended View'
3) Find 'Post-login Disclaimer Message'","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-Configuring-admin-
disclaimer-page/ta-p/198609?externalID=FD33887","CIS FortiGate 7.4.x Benchmark"
"Ensure timezone is properly configured","2.1.3","Ensure timezone is properly configured","System Settings - General Settings","Level 1","","true","Sets the local time zone information so that the time displayed by the device is more
relevant to those who are viewing it.

Default Value:
Default value is (GMT-8:00) Pacific Time (US & Canada)

Additional Information:
Daylight savings time is enabled by default, and can only be configured in the CLI.","Having a correct time set on the device is important for two main reasons. The first
reason is that digital certificates compare this time to the range defined by their Valid
From and Valid To fields to define a specific validity period. The second reason is to
have relevant time stamps when logging information. Whether you are sending
messages to a Syslog server, sending messages to an SNMP monitoring station, or
performing packet captures, timestamps have little usefulness if you cannot be certain
of their accuracy.","For many features to work, including scheduling, logging, and SSL-dependent features,
the FortiOS system time must be accurate.","In this example, we will set Eastern Timezone (GMT-5:00) for the Fortigate. Each
timezone will have its corresponding ID. To find the correct ID, when you type in the
command ""set timezone "", also type the question mark '?' to list all of the available
timezones and their IDs. The ID of the Eastern Timezone is 12 In the CLI:
FGT1 # config system global
FGT1 (global) # set timezone 12
FGT1 (global) # end
FGT1 #
In the GUI, do the following:
1) After login to fortigate, go to 'System' -> 'Settings'
2) Select '(GMT-5:00) Eastern Time (US & Canada)' under 'System Time'","In the CLI, do the following command and check the result of timezone filed in the
output
FGT1 # get system global
...
timezone : (GMT-8:00) Pacific Time (US & Canada)
...
Or from GUI, do the following:
1) Login to FortiGate
2) Go to 'System' -> 'Settings'.
3) Time Zone and NTP settings are under 'System Time'","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-Setting-the-system-
time/ta-p/192907?externalID=FD49018
2. https://docs.fortinet.com/document/fortigate/7.4.5/administration-guide/512210","CIS FortiGate 7.4.x Benchmark"
"Ensure correct system time is configured through NTP","2.1.4","Ensure correct system time is configured through NTP","System Settings - General Settings","Level 1","","false","You can either manually set the FortiOS system time, or configure the device to
automatically keep its system time correct by synchronizing with a Network Time
Protocol (NTP) server.
These settings enable the use of primary and secondary NTP servers to provide
redundancy in case of a failure involving the primary NTP server.

Default Value:
By default, Fortinet uses the NTPs server of the FortiGuard

Additional Information:
Daylight savings time is enabled by default, and can only be configured in the CLI.","NTP enables the device to maintain accurate time and date when receiving updates
from a reliable NTP server. Accurate timestamps are critical when correlating events
with other systems, troubleshooting, or performing investigative work. Logs and certain
cryptographic functions, such as those utilizing certificates, rely on accurate time and
date parameters. In addition, rules referencing a Schedule object will not function as
intended if the device’s time and date are incorrect. For additional security,
authenticated NTP can be utilized. If Symmetric Key authentication is selected, only
SHA1 should be used, as MD5 is considered severely compromised.","For many features to work, including scheduling, logging, and SSL-dependent features,
the FortiOS system time must be accurate.","You can only customize NTP setting using CLI. In this example, we'll assign
pool.ntp.org as primary NTP server and 1.1.1.1 as secondary NTP server.
FGT1 # config system ntp
FGT1 (ntp) # set type custom
FGT1 (ntp) # config ntpserver
FGT1 (ntpserver) # edit 1
FGT1 (1) # set server pool.ntp.org
FGT1 (1) # next
FGT1 (ntpserver) # edit 2
FGT1 (2) # set server 1.1.1.1
FGT1 (2) # end
FGT1 (ntp) # end
FGT1 #","In the CLI:
FGT1 # diag sys ntp status
synchronized: yes, ntpsync: enabled, server-mode: enabled
ipv4 server(ntp2.fortiguard.com) 208.91.114.23 -- reachable(0xff) S:3 T:54
server-version=4, stratum=1
reference time is e12361d5.f27e0322 -- UTC Wed Sep 11 12:06:45 2019
clock offset is -0.001569 sec, root delay is 0.000000 sec
root dispersion is 0.010269 sec, peer dispersion is 19 msec
ipv4 server(ntp1.fortiguard.com) 208.91.115.123 -- reachable(0xff) S:3 T:54
selected
server-version=4, stratum=1
reference time is e12361d4.4f8b22a5 -- UTC Wed Sep 11 12:06:44 2019
clock offset is -0.000652 sec, root delay is 0.000000 sec
root dispersion is 0.010284 sec, peer dispersion is 8 msec
ipv4 server(ntp2.fortiguard.com) 208.91.113.71 -- reachable(0xff) S:3 T:54
server-version=4, stratum=2
reference time is e12361d6.4caf57ab -- UTC Wed Sep 11 12:06:46 2019
clock offset is -0.004814 sec, root delay is 0.000137 sec
root dispersion is 0.011154 sec, peer dispersion is 3 msec
ipv4 server(ntp1.fortiguard.com) 208.91.113.70 -- reachable(0xff) S:3 T:54
server-version=4, stratum=2
reference time is e123617b.c98e2059 -- UTC Wed Sep 11 12:05:15 2019
clock offset is -0.005106 sec, root delay is 0.000122 sec
root dispersion is 0.013382 sec, peer dispersion is 6 msec","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-Setting-the-system-
time/ta-p/192907?externalID=FD49018
2. https://docs.fortinet.com/document/fortigate/7.4.5/administration-guide/512210","CIS FortiGate 7.4.x Benchmark"
"Ensure hostname is set","2.1.5","Ensure hostname is set","System Settings - General Settings","Level 1","","true","Changes the device default hostname.

Default Value:
The default value of the hostname is the model number of the unit. Example: 'FortiGate
2000E'","The device hostname plays an important role in asset inventory and identification as a
security requirement. It is also crucial in the public keys and certificate deployments, as
well as when correlating logs from different systems during an incident handling.","","In CLI, set the hostname to 'New_FGT1' as follows:
FGT1 # config system global
FGT1 (global) # set hostname ""New_FGT1""
FGT1 (global) # end
New_FGT1 #
In GUI
1) Go to 'System' > 'Settings'
2) Update the field 'Hostname' with the new hostname
3) click 'Apply'","In CLI
get system global
...
hostname : FG1
...
In GUI
1) Go to 'System' > 'Settings'
2) Check the field 'Hostname'","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-Renaming-the-
hostname/ta-p/198521?externalID=FD48765","CIS FortiGate 7.4.x Benchmark"
"Ensure the latest firmware is installed","2.1.6","Ensure the latest firmware is installed","System Settings - General Settings","Level 2","","false","Check against the Fortinet website to make sure that the latest stable firmware is
installed.

Default Value:
There is no default firmware. The hardware comes with the latest firmware at the time it
was manufactured.","Fortinet periodically updates the FortiGate firmware to include new features and resolve
important issues. After you have registered your FortiGate unit, firmware updates can
be downloaded from the Fortinet Customer Service & Support website.
It is important to constantly keep the firmware up to date to prevent any new well-known
exploitation.","","First, determine the upgrade path recommended by Fortinet. If you have not upgraded
the system for a long time, it is not recommended to upgrade straight to the latest
version, as the configuration could be lost. Fortinet provides a tool to recommend an
upgrade path for all of its products.
Go to https://docs.fortinet.com/upgrade-tool. Choose your product from the ""Current
Product"" drop-down menu, the ""current FortiOS version"", and the latest firmware
version available for that model from ""Upgrade to FortiOS Version"". Click ""Go"". Write
down the path and then click on ""Download"" to download all the necessary versions.
The second step is to download the required FortiOS firmware/s. Go to
https://support.fortinet.com and login. Go to Support -> Firmware Download. Once
there, select the product and click on ""Upgrade Path"". Choose the specific model of the
hardware, the current firmware version and the latest firmware version available for that
model. Click ""Go"". Write down the path and then click on ""Download"" to download all
the necessary versions.
The last step is to install the new firmwares in the order provided by the ""Upgrade tool"".
It is recommended to use GUI to perform this task as it would be much easier.
In the GUI
1. Go to System > Fabric Management
2. Right click on device that needs to be upgraded.
3. Then click on ""Upgrade"". You might have to perform this step multiple
times if you follow the upgrade path.","First, check for the latest firmware version available by going to
https://docs.fortinet.com/upgrade-tool, select your product from the Current Product
drop-down menu, then select the upgrade to FortiOS Version for the latest available
version.
Second, verify the current firmware on your system. In the CLI:
FGT1 # get system status
...
Version: Fortigate-100D v6.2.7,build1190,201216 (GA)
...
FGT1 #
In the GUI:
1. Go to Dashboard > Status > System information
2. Check for firmware.
At the same time, go to https://www.fortiguard.com/psirt?product=FortiOS and check for
vulnerabilities that your existing version might have.","1. https://community.fortinet.com/t5/FortiGate/Technical-Tip-How-to-upgrade-
FortiGate-firmware/ta-p/194980?externalID=10948","CIS FortiGate 7.4.x Benchmark"
"Disable USB Firmware and configuration installation","2.1.7","Disable USB Firmware and configuration installation","System Settings - General Settings","Level 2","","true","Disable USB port auto install feature for config and firmware.

Default Value:
auto-install is enabled by default.","Disabling USB port for auto install prevents a USB with a manipulated configuration or
incorrect firmware from being connected and loaded automatically.","","CLI:
config system auto-install
set auto-install-config disable
set auto-install-image disable
end","CLI:
config system auto-install
get
Verify that set auto-install-config and set auto-install-image are disabled","1. https://docs.fortinet.com/document/fortigate/7.4.5/cli-
reference/304730529/config-system-auto-install","CIS FortiGate 7.4.x Benchmark"
